MaxOffsetAdj_cm,a_cm,b_ps,c_cm,r2,KsTotal_cm_d,KsTotal_m_s,KsSoil_cm_d,KsSoil_m_s,KsSoil10_cm_d,KsSoil10_m_s,Sample,Plot_ID,Depth_ID
1,6.08,-0.0738,1,0.9982,3520,4.09e-4,3020,3.51e-4,2230,2.59e-4,5T,5,T
1,4.65,-0.00243,-0.2,0.9999,116,1.35e-5,95,1.11e-5,67,7.81e-6,5T2,5,T
1,2.89,-6.29e-4,1,0.9977,28,3.31e-6,25,2.86e-6,18,2.08e-6,5B,5,B
1,5.35,-0.0849,-0.4,0.9972,4050,4.71e-4,3500,4.07e-4,2480,2.88e-4,6T,6,T
1,4.9,-0.00537,-0.2,0.9999,256,2.98e-5,211,2.45e-5,149,1.73e-5,6T2,6,T
1,9.95,-9.5e-4,-0.2,1,45,5.27e-6,37,4.32e-6,27,3.17e-6,6B,6,B
1,3.9,-0.036,-0.8,0.9933,1720,2e-4,1440,1.67e-4,1050,1.22e-4,7T,7,T
1,4.84,-0.00136,-0.3,0.9999,65,7.52e-6,53,6.17e-6,37,4.34e-6,7B,7,B
1,4.64,-0.0797,-0.2,0.9987,3800,4.42e-4,3280,3.81e-4,2300,2.67e-4,8T,8,T
1,5.16,-0.00586,0.1,1,280,3.25e-5,230,2.67e-5,169,1.96e-5,8B,8,B
1,4.62,-0.0315,-0.3,0.9998,1500,1.74e-4,1260,1.47e-4,904,1.05e-4,13T,13,T
1,4.78,-0.00179,-0.3,1,85,9.92e-6,70,8.14e-6,50,5.84e-6,13B,13,B
1,4.66,-0.0261,-0.3,0.9999,1240,1.44e-4,1040,1.21e-4,737,8.57e-5,14T,14,T
1,5.44,-3.32e-4,-0.5,1,15,1.74e-6,13,1.51e-6,17,2.03e-6,14B,14,B
1,5,-0.0146,-0.1,0.9999,696,8.09e-5,576,6.69e-5,410,4.77e-5,15T,15,T
1,4.77,-0.00833,-0.5,1,397,4.62e-5,327,3.81e-5,233,2.71e-5,15B,15,B
1,4.95,-0.00383,-0.3,0.9999,183,2.12e-5,150,1.74e-5,110,1.27e-5,16T,16,T
1,4.69,-0.00217,-0.5,0.9999,103,1.2e-5,85,9.88e-6,61,7.06e-6,16B,16,B
1,4.99,-0.00573,-0.1,0.9999,273,3.18e-5,225,2.61e-5,160,1.86e-5,21T,21,T
1,4.96,-0.00356,-0.2,1,170,1.98e-5,140,1.62e-5,100,1.16e-5,21B,21,B
1,4.78,-0.0196,-0.1,1,933,1.08e-4,774,9e-5,553,6.43e-5,22T,22,T
1,5.75,-8.75e-4,0.6,0.9999,42,4.85e-6,34,3.98e-6,24,2.76e-6,22B,22,B
1,4.85,-0.00198,-0.3,1,94,1.1e-5,78,9.02e-6,54,6.31e-6,23T,23,T
1,4.01,-0.0016,-1,0.9979,76,8.88e-6,63,7.29e-6,45,5.22e-6,23B,23,B
1,4.3,-0.00668,0.1,1,319,3.71e-5,262,3.05e-5,187,2.18e-5,24T,24,T
1,4.58,-0.00338,-0.4,0.9999,161,1.87e-5,132,1.54e-5,95,1.1e-5,24B,24,B
1,4.86,-0.0177,NA,0.9999,845,9.82e-5,700,8.14e-5,500,5.81e-5,29T,29,T
1,5.15,-0.00355,-0.1,1,169,1.97e-5,139,1.61e-5,97,1.13e-5,29B,29,B
1,5.13,-0.0317,NA,0.9998,1510,1.76e-4,1260,1.47e-4,882,1.03e-4,30T,30,T
1,5.91,-0.00763,0.6,0.9999,364,4.23e-5,300,3.48e-5,206,2.4e-5,30B,30,B
1,4.96,-0.00558,-0.1,0.9999,266,3.09e-5,219,2.55e-5,152,1.76e-5,31T,31,T
1,5.25,-0.00394,-0.1,1,188,2.19e-5,154,1.8e-5,107,1.25e-5,31B,31,B
1,3.23,-0.0124,-0.2,1,590,6.87e-5,488,5.67e-5,339,3.94e-5,32T,32,T
1,5.21,-0.00153,-0.1,0.9999,73,8.5e-6,60,6.97e-6,42,4.93e-6,32B,32,B
