Sample_ID,Depth_text,Plot_ID,Depth_ID,Winter_Cover,Tillage_Type,Depth_Top,Depth_Bottom,Replicate,Distance_From_East_Edge_Approx_m,Sampled_Date
5T,0 - 5 cm,5,T,NO,CT,0,5,2,40,11/18/2017
5B,20 - 25 cm,5,B,NO,CT,20,25,2,40,11/18/2017
6T,0 - 5 cm,6,T,NO,ST,0,5,2,40,11/18/2017
6B,20 - 25 cm,6,B,NO,ST,20,25,2,40,11/18/2017
7T,0 - 5 cm,7,T,CC,ST,0,5,2,40,11/18/2017
7B,20 - 25 cm,7,B,CC,ST,20,25,2,40,11/18/2017
8T,0 - 5 cm,8,T,CC,CT,0,5,2,40,11/18/2017
8B,20 - 25 cm,8,B,CC,CT,20,25,2,40,11/18/2017
13T,0 - 5 cm,13,T,CC,ST,0,5,4,40,11/17/2017
13B,20 - 25 cm,13,B,CC,ST,20,25,4,40,11/17/2017
14T,0 - 5 cm,14,T,NO,ST,0,5,4,40,11/17/2017
14B,20 - 25 cm,14,B,NO,ST,20,25,4,40,11/17/2017
15T,0 - 5 cm,15,T,CC,CT,0,5,4,40,11/17/2017
15B,20 - 25 cm,15,B,CC,CT,20,25,4,40,11/17/2017
16T,0 - 5 cm,16,T,NO,CT,0,5,4,40,11/17/2017
16B,20 - 25 cm,16,B,NO,CT,20,25,4,40,11/17/2017
21T,0 - 5 cm,21,T,CC,ST,0,5,6,40,11/17/2017
21B,20 - 25 cm,21,B,CC,ST,20,25,6,40,11/17/2017
22T,0 - 5 cm,22,T,NO,ST,0,5,6,40,11/17/2017
22B,20 - 25 cm,22,B,NO,ST,20,25,6,40,11/17/2017
23T,0 - 5 cm,23,T,NO,CT,0,5,6,40,11/17/2017
23B,20 - 25 cm,23,B,NO,CT,20,25,6,40,11/17/2017
24T,0 - 5 cm,24,T,CC,CT,0,5,6,40,11/17/2017
24B,20 - 25 cm,24,B,CC,CT,20,25,6,40,11/17/2017
29T,0 - 5 cm,29,T,NO,CT,0,5,8,30,11/17/2017
29B,20 - 25 cm,29,B,NO,CT,20,25,8,30,11/17/2017
30T,0 - 5 cm,30,T,CC,CT,0,5,8,30,11/17/2017
30B,20 - 25 cm,30,B,CC,CT,20,25,8,30,11/17/2017
31T,0 - 5 cm,31,T,NO,ST,0,5,8,30,11/17/2017
31B,20 - 25 cm,31,B,NO,ST,20,25,8,30,11/17/2017
32T,0 - 5 cm,32,T,CC,ST,0,5,8,30,11/17/2017
32B,20 - 25 cm,32,B,CC,ST,20,25,8,30,11/17/2017
5T2,0 - 5 cm,5,T,NO,CT,0,5,2,40,06/11/2018
6T2,0 - 5 cm,6,T,NO,ST,0,5,2,40,06/11/2018
